Player,Team,Role,Matched_Player,Suggested_Match,Match_Type,Runs,Wkts,Batting_Points,Bowling_Points,Points,snapshot_time
Nitish Kumar Reddy,VATSAL11,BAT,nitish kumar reddy,,exact/alias,96,2,96,0,96,2026-04-10T20:31:17.216139+00:00
Tim Siefert,VATSAL11,BAT,,jamie overton,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
glenn phillips,VATSAL11,BAT,glenn phillips,,exact/alias,42,0,42,0,42,2026-04-10T20:31:17.216139+00:00
Romario Shepherd,VATSAL11,BAT,romario shepherd,,exact/alias,22,3,22,0,22,2026-04-10T20:31:17.216139+00:00
Ravindra Jadeja,VATSAL11,AR,ravindra jadeja,,exact/alias,31,3,31,60,91,2026-04-10T20:31:17.216139+00:00
Shardul Thakur,VATSAL11,AR,shardul thakur,,exact/alias,8,4,8,80,88,2026-04-10T20:31:17.216139+00:00
Marcus Stoinis,VATSAL11,AR,marcus stoinis,,exact/alias,9,0,9,0,9,2026-04-10T20:31:17.216139+00:00
Prasidh Krishna,VATSAL11,BOWL,prasidh krishna,,exact/alias,0,6,0,120,120,2026-04-10T20:31:17.216139+00:00
Lockie Ferguson,VATSAL11,BOWL,,lokesh rahul,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Jacob Duffy,VATSAL11,BOWL,jacob duffy,,exact/alias,0,5,0,100,100,2026-04-10T20:31:17.216139+00:00
Sandeep Sharma,VATSAL11,BOWL,sandeep sharma,,exact/alias,0,4,0,80,80,2026-04-10T20:31:17.216139+00:00
Adam Milne,VATSAL11,BOWL,,david miller,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Corbin Bosch,VATSAL11,BOWL,corbin bosch,,exact/alias,11,1,0,20,20,2026-04-10T20:31:17.216139+00:00
Deepak Chahar,VATSAL11,BOWL,deepak chahar,,exact/alias,6,1,0,20,20,2026-04-10T20:31:17.216139+00:00
Rahul Chahar,VATSAL11,BOWL,rahul chahar,,exact/alias,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Sanju Samson,BABA11,BAT,sanju samson,,exact/alias,22,0,22,0,22,2026-04-10T20:31:17.216139+00:00
Jos Inglis,BABA11,BAT,,marcus stoinis,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
David Miller,BABA11,BAT,david miller,,exact/alias,62,0,62,0,62,2026-04-10T20:31:17.216139+00:00
dhruv chand jurel,BABA11,BAT,dhruv chand jurel,,exact/alias,176,0,176,0,176,2026-04-10T20:31:17.216139+00:00
Ayush Badoni,BABA11,BAT,ayush badoni,,exact/alias,66,0,66,0,66,2026-04-10T20:31:17.216139+00:00
Prithvi Shaw,BABA11,BAT,,prasidh krishna,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
ryan rickelton,BABA11,BAT,ryan rickelton,,exact/alias,98,0,98,0,98,2026-04-10T20:31:17.216139+00:00
Rinku Singh,BABA11,BAT,rinku singh,,exact/alias,72,0,72,0,72,2026-04-10T20:31:17.216139+00:00
Shivam Dube,BABA11,BAT,shivam dube,,exact/alias,69,1,69,0,69,2026-04-10T20:31:17.216139+00:00
Rowman Powell,BABA11,BAT,,rovman powell,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Rashid Khan,BABA11,AR,rashid khan,,exact/alias,24,5,24,100,124,2026-04-10T20:31:17.216139+00:00
liam livingston,BABA11,AR,,liam livingstone,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
rachin ravindra,BABA11,AR,,rashid khan,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
sherfane rutherford,BABA11,AR,sherfane rutherford,,exact/alias,30,0,30,0,30,2026-04-10T20:31:17.216139+00:00
Varun Chakravarthy,BABA11,BOWL,varun chakravarthy,,exact/alias,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Zeeshan Ansari,BABA11,BOWL,,eshan malinga,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Mitchell Starc,BABA11,BOWL,,mitchell santner,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
mitchell santner,BABA11,BOWL,mitchell santner,,exact/alias,18,1,0,20,20,2026-04-10T20:31:17.216139+00:00
Ruturaj Gaikwad,DIPESH11,BAT,ruturaj gaikwad,,exact/alias,41,0,41,0,41,2026-04-10T20:31:17.216139+00:00
b sai sudharshan,DIPESH11,BAT,b sai sudharshan,,exact/alias,98,0,98,0,98,2026-04-10T20:31:17.216139+00:00
Prabhsimran Singh,DIPESH11,BAT,prabhsimran singh,,exact/alias,80,0,80,0,80,2026-04-10T20:31:17.216139+00:00
priyansh arya,DIPESH11,BAT,priyansh arya,,exact/alias,46,0,46,0,46,2026-04-10T20:31:17.216139+00:00
Mitchel Owen,DIPESH11,BAT,,mitchell santner,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Nehal Wadhera,DIPESH11,BAT,nehal wadhera,,exact/alias,13,0,13,0,13,2026-04-10T20:31:17.216139+00:00
Tristan Stubbs,DIPESH11,BAT,tristan stubbs,,exact/alias,49,0,49,0,49,2026-04-10T20:31:17.216139+00:00
Sarfaraz Khan,DIPESH11,BAT,sarfaraz khan,,exact/alias,99,0,99,0,99,2026-04-10T20:31:17.216139+00:00
Pat Cummins,DIPESH11,AR,,pathum nissanka,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Aiden Markram,DIPESH11,AR,aiden markram,,exact/alias,78,0,78,0,78,2026-04-10T20:31:17.216139+00:00
Tim David,DIPESH11,AR,tim david,,exact/alias,99,0,99,0,99,2026-04-10T20:31:17.216139+00:00
Cooper Connolly,DIPESH11,AR,cooper connolly,,exact/alias,108,0,108,0,108,2026-04-10T20:31:17.216139+00:00
arshdeep singh,DIPESH11,BOWL,arshdeep singh,,exact/alias,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
avesh khan,DIPESH11,BOWL,avesh khan,,exact/alias,1,3,0,60,60,2026-04-10T20:31:17.216139+00:00
Mukesh Kumar,DIPESH11,BOWL,mukesh kumar,,exact/alias,0,4,0,80,80,2026-04-10T20:31:17.216139+00:00
Aqib Nabi Dar,DIPESH11,BOWL,,b sai sudharshan,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Rasik Dar Salam,DIPESH11,BOWL,,rashid khan,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Xavier Bartlett,DIPESH11,BOWL,xavier bartlett,,exact/alias,11,3,0,60,60,2026-04-10T20:31:17.216139+00:00
Yashasvi Jaiswal,NAKUL11,BAT,yashasvi jaiswal,,exact/alias,183,0,183,0,183,2026-04-10T20:31:17.216139+00:00
lokesh rahul,NAKUL11,BAT,lokesh rahul,,exact/alias,93,0,93,0,93,2026-04-10T20:31:17.216139+00:00
Shreyas Iyer,NAKUL11,BAT,shreyas iyer,,exact/alias,68,0,68,0,68,2026-04-10T20:31:17.216139+00:00
Jos Buttler,NAKUL11,BAT,jos buttler,,exact/alias,116,0,116,0,116,2026-04-10T20:31:17.216139+00:00
Urvil Patel,NAKUL11,BAT,,axar patel,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Arshin Kulkarni,NAKUL11,BAT,,shivang kumar,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Nishant Sindhu,NAKUL11,AR,,shashank singh,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Jayant Yadav,NAKUL11,AR,,prince yadav,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Ajay Mandal,NAKUL11,AR,,rajat patidar,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Will Jacks,NAKUL11,AR,,mitchell marsh,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Riyan Parag,NAKUL11,AR,riyan parag,,exact/alias,45,1,45,20,65,2026-04-10T20:31:17.216139+00:00
Kagiso Rabada,NAKUL11,BOWL,kagiso rabada,,exact/alias,23,3,0,60,60,2026-04-10T20:31:17.216139+00:00
Josh Hazelwood,NAKUL11,BOWL,,josh hazlewood,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Kyle Jamieson,NAKUL11,BOWL,,jamie overton,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Matheesha Pathirana,NAKUL11,BOWL,,eshan malinga,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Manimaran Siddharth,NAKUL11,BOWL,manimaran siddharth,,exact/alias,0,2,0,40,40,2026-04-10T20:31:17.216139+00:00
Ben Dwarshuis,NAKUL11,BOWL,,b sai sudharshan,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Nandre Burger,NAKUL11,BOWL,nandre burger,,exact/alias,0,5,0,100,100,2026-04-10T20:31:17.216139+00:00
philip salt,SKY11,BAT,philip salt,,exact/alias,54,0,54,0,54,2026-04-10T20:31:17.216139+00:00
mitchell marsh,SKY11,BAT,mitchell marsh,,exact/alias,64,0,64,0,64,2026-04-10T20:31:17.216139+00:00
Rohit Sharma,SKY11,BAT,rohit sharma,,exact/alias,118,0,118,0,118,2026-04-10T20:31:17.216139+00:00
Shimron Hetmyer,SKY11,BAT,shimron hetmyer,,exact/alias,24,0,24,0,24,2026-04-10T20:31:17.216139+00:00
Manish Pandey,SKY11,BAT,,hardik pandya,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Pathum Nissanka,SKY11,BAT,pathum nissanka,,exact/alias,86,0,86,0,86,2026-04-10T20:31:17.216139+00:00
Hardik Pandya,SKY11,AR,hardik pandya,,exact/alias,27,1,27,20,47,2026-04-10T20:31:17.216139+00:00
Jamie Overton,SKY11,AR,jamie overton,,exact/alias,80,1,80,20,100,2026-04-10T20:31:17.216139+00:00
Donavan Ferreira,SKY11,AR,donavon ferreira,,ai_structured,1,0,1,0,1,2026-04-10T20:31:17.216139+00:00
Harshal Patel,SKY11,BOWL,harshal patel,,exact/alias,4,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Kartik Tyagi,SKY11,BOWL,kartik tyagi,,exact/alias,5,3,0,60,60,2026-04-10T20:31:17.216139+00:00
Lungi Ngidi,SKY11,BOWL,lungi ngidi,,exact/alias,0,5,0,100,100,2026-04-10T20:31:17.216139+00:00
vijaykumar vyshak,SKY11,BOWL,vijaykumar vyshak,,exact/alias,0,5,0,100,100,2026-04-10T20:31:17.216139+00:00
Mukesh Choudhary,SKY11,BOWL,,mukul choudhary,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Gurjapneet Singh,SKY11,BOWL,,ramandeep singh,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Arjun Tendulkar,SKY11,BOWL,,krunal pandya,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Kwena Maphaka,SKY11,BOWL,,aiden markram,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Anrich Nortje,SKY11,BOWL,anrich nortje,,exact/alias,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Devdutt Padikkal,HARSH11,BAT,devdutt padikkal,,exact/alias,125,0,125,0,125,2026-04-10T20:31:17.216139+00:00
Ramkrishna Ghosh,HARSH11,BAT,,angkrish raghuvanshi,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Venkatesh Iyer,HARSH11,BAT,venkatesh iyer,,exact/alias,29,0,29,0,29,2026-04-10T20:31:17.216139+00:00
Shahrukh Khan,HARSH11,BAT,shahrukh khan,,exact/alias,15,0,15,0,15,2026-04-10T20:31:17.216139+00:00
ashutosh sharma,HARSH11,BAT,,ashok sharma,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Tilak Varma,HARSH11,BAT,tilak varma,,exact/alias,34,0,34,0,34,2026-04-10T20:31:17.216139+00:00
Shashank Singh,HARSH11,BAT,shashank singh,,exact/alias,18,0,18,0,18,2026-04-10T20:31:17.216139+00:00
Sameer Rizvi,HARSH11,BAT,sameer rizvi,,exact/alias,160,0,160,0,160,2026-04-10T20:31:17.216139+00:00
angkrish raghuvanshi,HARSH11,BAT,angkrish raghuvanshi,,exact/alias,155,0,155,0,155,2026-04-10T20:31:17.216139+00:00
Prashant Veer,HARSH11,BAT,prashant veer,,exact/alias,49,0,49,0,49,2026-04-10T20:31:17.216139+00:00
Washington Sundar,HARSH11,AR,washington sundar,,exact/alias,77,1,77,20,97,2026-04-10T20:31:17.216139+00:00
Axar Patel,HARSH11,AR,axar patel,,exact/alias,2,2,2,40,42,2026-04-10T20:31:17.216139+00:00
Azmatullah Omarzai,HARSH11,AR,,mitchell marsh,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Salil Arora,HARSH11,AR,salil arora,,exact/alias,9,0,9,0,9,2026-04-10T20:31:17.216139+00:00
Jasprit Bumrah,HARSH11,BOWL,jasprit bumrah,,exact/alias,5,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Jaydev Unadkat,HARSH11,BOWL,jaydev unadkat,,exact/alias,4,4,0,80,80,2026-04-10T20:31:17.216139+00:00
mohammed shami,HARSH11,BOWL,mohammed shami,,exact/alias,2,3,0,60,60,2026-04-10T20:31:17.216139+00:00
Trent Boult,HARSH11,BOWL,trent boult,,exact/alias,1,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Virat Kohli,AMEY11,BAT,virat kohli,,exact/alias,129,0,129,0,129,2026-04-10T20:31:17.216139+00:00
Suryakumar Yadav,AMEY11,BAT,suryakumar yadav,,exact/alias,73,0,73,0,73,2026-04-10T20:31:17.216139+00:00
Nicholas Pooran,AMEY11,BAT,nicholas pooran,,exact/alias,22,0,22,0,22,2026-04-10T20:31:17.216139+00:00
Nitish Rana,AMEY11,BAT,nitish rana,,exact/alias,20,0,20,0,20,2026-04-10T20:31:17.216139+00:00
Aniket Verma,AMEY11,BAT,aniket verma,,exact/alias,46,0,46,0,46,2026-04-10T20:31:17.216139+00:00
akshat raghuwanshi,AMEY11,BAT,,angkrish raghuvanshi,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Himmat Singh,AMEY11,BAT,,prabhsimran singh,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Suryansh Shegde,AMEY11,BAT,,suyash sharma,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Tejasvi Singh,AMEY11,BAT,,prabhsimran singh,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Krunal Pandya,AMEY11,AR,krunal pandya,,exact/alias,1,4,1,80,81,2026-04-10T20:31:17.216139+00:00
Jofra Archer,AMEY11,AR,jofra archer,,exact/alias,1,5,1,100,101,2026-04-10T20:31:17.216139+00:00
T Natarajan,AMEY11,AR,t natarajan,,exact/alias,0,4,0,80,80,2026-04-10T20:31:17.216139+00:00
Yuzvendra Chahal,AMEY11,BOWL,yuzvendra chahal,,exact/alias,0,3,0,60,60,2026-04-10T20:31:17.216139+00:00
bhuvneshwar kumar,AMEY11,BOWL,bhuvneshwar kumar,,exact/alias,9,4,0,80,80,2026-04-10T20:31:17.216139+00:00
Vaibhav Arora,AMEY11,BOWL,vaibhav arora,,exact/alias,1,5,0,100,100,2026-04-10T20:31:17.216139+00:00
Sai Kishor,AMEY11,BOWL,,ishan kishan,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Matt Henry,AMEY11,BOWL,matt henry,,exact/alias,7,2,0,40,40,2026-04-10T20:31:17.216139+00:00
Akash Deep,AMEY11,BOWL,,arshdeep singh,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Abhishek Sharma,PRATIK11,BAT,abhishek sharma,,exact/alias,55,0,55,0,55,2026-04-10T20:31:17.216139+00:00
Ben Duckett,PRATIK11,BAT,,ryan rickelton,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Abhishek Porel,PRATIK11,BAT,,abhishek sharma,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Ayush Mhatre,PRATIK11,BAT,ayush mhatre,,exact/alias,74,0,74,0,74,2026-04-10T20:31:17.216139+00:00
Finn Allen,PRATIK11,BAT,finn allen,,exact/alias,80,0,80,0,80,2026-04-10T20:31:17.216139+00:00
Rahul Tripathi,PRATIK11,BAT,,rahul tewatia,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Dre Pretorius,PRATIK11,BAT,,nandre burger,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Matthew Breetzke,PRATIK11,BAT,,matt henry,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Anuj Rawat,PRATIK11,BAT,,rahul tewatia,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Marco Jansen,PRATIK11,AR,marco jansen,,exact/alias,9,2,9,40,49,2026-04-10T20:31:17.216139+00:00
Sunil Narine,PRATIK11,AR,sunil narine,,exact/alias,12,2,12,40,52,2026-04-10T20:31:17.216139+00:00
Wanindu Hasaranga,PRATIK11,AR,,sandeep sharma,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Harpreet Brar,PRATIK11,BOWL,,jasprit bumrah,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Mayank Yadav,PRATIK11,BOWL,,mayank markande,no_stats_yet,0,0,0,0,0,2026-04-10T20:31:17.216139+00:00
Suyash Sharma,PRATIK11,BOWL,suyash sharma,,exact/alias,0,2,0,40,40,2026-04-10T20:31:17.216139+00:00
Digvesh Rathi,PRATIK11,BOWL,digvesh rathi,,exact/alias,0,2,0,40,40,2026-04-10T20:31:17.216139+00:00
Kuldeep Yadav,PRATIK11,BOWL,kuldeep yadav,,exact/alias,1,3,0,60,60,2026-04-10T20:31:17.216139+00:00
Noor Ahmad,PRATIK11,BOWL,noor ahmad,,exact/alias,9,0,0,0,0,2026-04-10T20:31:17.216139+00:00
MS Dhoni,NIRAV11,BAT,,abhinandan singh,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Rishabh Pant,NIRAV11,BAT,rishabh pant,,exact/alias,85,0,85,0,85,2026-04-10T20:32:48.525119+00:00
Travis Head,NIRAV11,BAT,travis head,,exact/alias,64,0,64,0,64,2026-04-10T20:32:48.525119+00:00
jitesh sharma,NIRAV11,BAT,jitesh sharma,,exact/alias,5,0,5,0,5,2026-04-10T20:32:48.525119+00:00
rajat patidar,NIRAV11,BAT,rajat patidar,,exact/alias,142,0,142,0,142,2026-04-10T20:32:48.525119+00:00
Dewald Brevis,NIRAV11,BAT,,nandre burger,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
kartik sharma,NIRAV11,BAT,kartik sharma,,exact/alias,25,0,25,0,25,2026-04-10T20:32:48.525119+00:00
Naman Dhir,NIRAV11,BAT,naman dhir,,exact/alias,58,0,58,0,58,2026-04-10T20:32:48.525119+00:00
Cameron Green,NIRAV11,AR,cameron green,,exact/alias,56,1,56,20,76,2026-04-10T20:32:48.525119+00:00
Akeal Hosein,NIRAV11,AR,,jamie overton,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Anukul Roy,NIRAV11,AR,anukul roy,,exact/alias,0,3,0,60,60,2026-04-10T20:32:48.525119+00:00
Mohammed Siraj,NIRAV11,BOWL,mohammed siraj,,exact/alias,0,2,0,40,40,2026-04-10T20:32:48.525119+00:00
Mohsin Khan,NIRAV11,BOWL,mohsin khan,,exact/alias,0,1,0,20,20,2026-04-10T20:32:48.525119+00:00
Brydon Carse,NIRAV11,BOWL,,riyan parag,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Mayank Markande,NIRAV11,BOWL,mayank markande,,exact/alias,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Umran Malik,NIRAV11,BOWL,,eshan malinga,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Ishan Kishan,MEET11,BAT,ishan kishan,,exact/alias,95,0,95,0,95,2026-04-10T20:32:48.525119+00:00
Shubman Gill,MEET11,BAT,shubman gill,,exact/alias,109,0,109,0,109,2026-04-10T20:32:48.525119+00:00
Ajinkya Rahane,MEET11,BAT,ajinkya rahane,,exact/alias,124,0,124,0,124,2026-04-10T20:32:48.525119+00:00
vaibhav suryavanshi,MEET11,BAT,vaibhav suryavanshi,,exact/alias,200,0,200,0,200,2026-04-10T20:32:48.525119+00:00
ramandeep singh,MEET11,BAT,ramandeep singh,,exact/alias,14,0,14,0,14,2026-04-10T20:32:48.525119+00:00
karun nair,MEET11,BAT,,krunal pandya,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
jacob bethel,MEET11,AR,,jacob duffy,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
vipraj nigam,MEET11,AR,vipraj nigam,,exact/alias,12,1,12,20,32,2026-04-10T20:32:48.525119+00:00
Rahul Tewatia,MEET11,AR,rahul tewatia,,exact/alias,24,0,24,0,24,2026-04-10T20:32:48.525119+00:00
Jason Holder,MEET11,AR,,jos buttler,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
kamindu mendis,MEET11,BOWL,,naman dhir,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
tushar deshpande,MEET11,BOWL,tushar deshpande,,exact/alias,0,2,0,40,40,2026-04-10T20:32:48.525119+00:00
Ravi Bishnoi,MEET11,BOWL,ravi bishnoi,,exact/alias,0,9,0,180,180,2026-04-10T20:32:48.525119+00:00
Khaleel Ahmed,MEET11,BOWL,khaleel ahmed,,exact/alias,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
am ghazanfar,MEET11,BOWL,am ghazanfar,,exact/alias,0,2,0,40,40,2026-04-10T20:32:48.525119+00:00
anshul kamboj,MEET11,BOWL,anshul kamboj,,exact/alias,26,5,0,100,100,2026-04-10T20:32:48.525119+00:00
Harsh Dubey,MEET11,BOWL,harsh dubey,,exact/alias,12,4,0,80,80,2026-04-10T20:32:48.525119+00:00
Kuldeep sen,MEET11,BOWL,,kuldeep yadav,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Quinton de Kock,VATSAL11,BAT,,washington sundar,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Heinrich Klaasen,VATSAL11,BAT,heinrich klaasen,,exact/alias,145,0,145,0,145,2026-04-10T20:32:48.525119+00:00
Tom Banton,VATSAL11,BAT,,t natarajan,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Nitish Kumar Reddy,VATSAL11,BAT,nitish kumar reddy,,exact/alias,96,2,96,0,96,2026-04-10T20:32:48.525119+00:00
Tim Siefert,VATSAL11,BAT,,jamie overton,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
glenn phillips,VATSAL11,BAT,glenn phillips,,exact/alias,42,0,42,0,42,2026-04-10T20:32:48.525119+00:00
Romario Shepherd,VATSAL11,BAT,romario shepherd,,exact/alias,22,3,22,0,22,2026-04-10T20:32:48.525119+00:00
Ravindra Jadeja,VATSAL11,AR,ravindra jadeja,,exact/alias,31,3,31,60,91,2026-04-10T20:32:48.525119+00:00
Shardul Thakur,VATSAL11,AR,shardul thakur,,exact/alias,8,4,8,80,88,2026-04-10T20:32:48.525119+00:00
Marcus Stoinis,VATSAL11,AR,marcus stoinis,,exact/alias,9,0,9,0,9,2026-04-10T20:32:48.525119+00:00
Prasidh Krishna,VATSAL11,BOWL,prasidh krishna,,exact/alias,0,6,0,120,120,2026-04-10T20:32:48.525119+00:00
Lockie Ferguson,VATSAL11,BOWL,,lokesh rahul,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Jacob Duffy,VATSAL11,BOWL,jacob duffy,,exact/alias,0,5,0,100,100,2026-04-10T20:32:48.525119+00:00
Sandeep Sharma,VATSAL11,BOWL,sandeep sharma,,exact/alias,0,4,0,80,80,2026-04-10T20:32:48.525119+00:00
Adam Milne,VATSAL11,BOWL,,david miller,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Corbin Bosch,VATSAL11,BOWL,corbin bosch,,exact/alias,11,1,0,20,20,2026-04-10T20:32:48.525119+00:00
Deepak Chahar,VATSAL11,BOWL,deepak chahar,,exact/alias,6,1,0,20,20,2026-04-10T20:32:48.525119+00:00
Rahul Chahar,VATSAL11,BOWL,rahul chahar,,exact/alias,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Sanju Samson,BABA11,BAT,sanju samson,,exact/alias,22,0,22,0,22,2026-04-10T20:32:48.525119+00:00
Jos Inglis,BABA11,BAT,,marcus stoinis,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
David Miller,BABA11,BAT,david miller,,exact/alias,62,0,62,0,62,2026-04-10T20:32:48.525119+00:00
dhruv chand jurel,BABA11,BAT,dhruv chand jurel,,exact/alias,176,0,176,0,176,2026-04-10T20:32:48.525119+00:00
Ayush Badoni,BABA11,BAT,ayush badoni,,exact/alias,66,0,66,0,66,2026-04-10T20:32:48.525119+00:00
Prithvi Shaw,BABA11,BAT,,prasidh krishna,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
ryan rickelton,BABA11,BAT,ryan rickelton,,exact/alias,98,0,98,0,98,2026-04-10T20:32:48.525119+00:00
Rinku Singh,BABA11,BAT,rinku singh,,exact/alias,72,0,72,0,72,2026-04-10T20:32:48.525119+00:00
Shivam Dube,BABA11,BAT,shivam dube,,exact/alias,69,1,69,0,69,2026-04-10T20:32:48.525119+00:00
Rowman Powell,BABA11,BAT,,rovman powell,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Rashid Khan,BABA11,AR,rashid khan,,exact/alias,24,5,24,100,124,2026-04-10T20:32:48.525119+00:00
liam livingston,BABA11,AR,,liam livingstone,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
rachin ravindra,BABA11,AR,,rashid khan,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
sherfane rutherford,BABA11,AR,sherfane rutherford,,exact/alias,30,0,30,0,30,2026-04-10T20:32:48.525119+00:00
Varun Chakravarthy,BABA11,BOWL,varun chakravarthy,,exact/alias,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Zeeshan Ansari,BABA11,BOWL,,eshan malinga,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
Mitchell Starc,BABA11,BOWL,,mitchell santner,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
mitchell santner,BABA11,BOWL,mitchell santner,,exact/alias,18,1,0,20,20,2026-04-10T20:32:48.525119+00:00
Ruturaj Gaikwad,DIPESH11,BAT,ruturaj gaikwad,,exact/alias,41,0,41,0,41,2026-04-10T20:32:48.525119+00:00
b sai sudharshan,DIPESH11,BAT,b sai sudharshan,,exact/alias,98,0,98,0,98,2026-04-10T20:32:48.525119+00:00
Prabhsimran Singh,DIPESH11,BAT,prabhsimran singh,,exact/alias,80,0,80,0,80,2026-04-10T20:32:48.525119+00:00
priyansh arya,DIPESH11,BAT,priyansh arya,,exact/alias,46,0,46,0,46,2026-04-10T20:32:48.525119+00:00
Mitchel Owen,DIPESH11,BAT,,mitchell santner,no_stats_yet,0,0,0,0,0,2026-04-10T20:32:48.525119+00:00
